"name","count","party","date","sample_articles"
"political","49","clegg","201003","40"
"public","48","clegg","201003","40"
"could","48","clegg","201003","40"
"nick","47","clegg","201003","40"
"also","46","clegg","201003","40"
"two","45","clegg","201003","40"
"new","43","clegg","201003","40"
"right","43","clegg","201003","40"
"like","43","clegg","201003","40"
"tory","42","clegg","201003","40"
"conservatives","41","clegg","201003","40"
"david","40","clegg","201003","40"
"voters","39","clegg","201003","40"
"time","38","clegg","201003","40"
"vote","38","clegg","201003","40"
"democrats","38","clegg","201003","40"
"hung","37","clegg","201003","40"
"conservative","37","clegg","201003","40"
"left","36","clegg","201003","40"
"cuts","36","clegg","201003","40"
"may","36","clegg","201003","40"
"question","35","clegg","201003","40"
"campaign","34","clegg","201003","40"
"support","34","clegg","201003","40"
"way","34","clegg","201003","40"
"gordon","33","clegg","201003","40"
"politics","33","clegg","201003","40"
"mps","33","clegg","201003","40"
"britain","33","clegg","201003","40"
"four","32","clegg","201003","40"
"majority","32","clegg","201003","40"
"even","31","clegg","201003","40"
"first","31","clegg","201003","40"
"debates","31","clegg","201003","40"
"many","30","clegg","201003","40"
"last","30","clegg","201003","40"
"war","29","clegg","201003","40"
"years","29","clegg","201003","40"
"spending","29","clegg","201003","40"
"know","29","clegg","201003","40"
"conference","28","clegg","201003","40"
"general","28","clegg","201003","40"
"us","28","clegg","201003","40"
"want","27","clegg","201003","40"
"today","27","clegg","201003","40"
"reform","27","clegg","201003","40"
"cut","27","clegg","201003","40"
"made","27","clegg","201003","40"
"country","26","clegg","201003","40"
"make","26","clegg","201003","40"
"says","26","clegg","201003","40"
"good","26","clegg","201003","40"
"debate","25","clegg","201003","40"
"leaders","24","clegg","201003","40"
"much","24","clegg","201003","40"
"might","24","clegg","201003","40"
"issue","24","clegg","201003","40"
"change","23","clegg","201003","40"
"think","23","clegg","201003","40"
"take","23","clegg","201003","40"
"cable","23","clegg","201003","40"
"see","23","clegg","201003","40"
"talk","22","clegg","201003","40"
"say","22","clegg","201003","40"
"prime","22","clegg","201003","40"
"deficit","22","clegg","201003","40"
"well","22","clegg","201003","40"
"old","21","clegg","201003","40"
"year","21","clegg","201003","40"
"going","21","clegg","201003","40"
"get","21","clegg","201003","40"
"different","21","clegg","201003","40"
"former","21","clegg","201003","40"
"seats","21","clegg","201003","40"
"yet","20","clegg","201003","40"
"man","20","clegg","201003","40"
"policy","20","clegg","201003","40"
"coalition","20","clegg","201003","40"
"since","20","clegg","201003","40"
"cameron","1848","cameron","201004","357"
"labour","1672","cameron","201004","357"
"would","1187","cameron","201004","357"
"party","1086","cameron","201004","357"
"brown","1030","cameron","201004","357"
"said","1027","cameron","201004","357"
"clegg","1017","cameron","201004","357"
"people","905","cameron","201004","357"
"one","767","cameron","201004","357"
"tories","755","cameron","201004","357"
"election","745","cameron","201004","357"
"tory","713","cameron","201004","357"
"lib","693","cameron","201004","357"
"david","574","cameron","201004","357"
"government","570","cameron","201004","357"
"debate","539","cameron","201004","357"
"conservative","496","cameron","201004","357"
"last","483","cameron","201004","357"
"public","461","cameron","201004","357"
"new","441","cameron","201004","357"
"conservatives","440","cameron","201004","357"
"time","434","cameron","201004","357"
"leader","430","cameron","201004","357"
"two","422","cameron","201004","357"
"like","418","cameron","201004","357"
"first","417","cameron","201004","357"
"think","415","cameron","201004","357"
"campaign","413","cameron","201004","357"
"dems","405","cameron","201004","357"
"get","391","cameron","201004","357"
"political","388","cameron","201004","357"
"tax","383","cameron","201004","357"
"says","382","cameron","201004","357"
"could","381","cameron","201004","357"
"also","374","cameron","201004","357"
"lab","373","cameron","201004","357"
"say","370","cameron","201004","357"
"liberal","370","cameron","201004","357"
"britain","366","cameron","201004","357"
"gordon","365","cameron","201004","357"
"nick","360","cameron","201004","357"
"vote","356","cameron","201004","357"
"manifesto","356","cameron","201004","357"
"big","356","cameron","201004","357"
"today","352","cameron","201004","357"
"us","343","cameron","201004","357"
"year","337","cameron","201004","357"
"week","335","cameron","201004","357"
"change","335","cameron","201004","357"
"voters","334","cameron","201004","357"
"back","330","cameron","201004","357"
"three","325","cameron","201004","357"
"years","319","cameron","201004","357"
"right","318","cameron","201004","357"
"even","317","cameron","201004","357"
"much","315","cameron","201004","357"
"may","311","cameron","201004","357"
"parties","303","cameron","201004","357"
"want","299","cameron","201004","357"
"minister","288","cameron","201004","357"
"see","282","cameron","201004","357"
"way","281","cameron","201004","357"
"make","280","cameron","201004","357"
"leaders","280","cameron","201004","357"
"dem","274","cameron","201004","357"
"power","270","cameron","201004","357"
"society","265","cameron","201004","357"
"politics","265","cameron","201004","357"
"country","262","cameron","201004","357"
"national","261","cameron","201004","357"
"prime","255","cameron","201004","357"
"going","254","cameron","201004","357"
"many","253","cameron","201004","357"
"10","252","cameron","201004","357"
"good","246","cameron","201004","357"
"still","240","cameron","201004","357"
"parliament","240","cameron","201004","357"
"old","238","cameron","201004","357"
"take","238","cameron","201004","357"
"well","238","cameron","201004","357"
"support","237","cameron","201004","357"
"made","236","cameron","201004","357"
"work","235","cameron","201004","357"
"need","232","cameron","201004","357"
"state","231","cameron","201004","357"
"british","227","cameron","201004","357"
"policy","225","cameron","201004","357"
"put","222","cameron","201004","357"
"next","218","cameron","201004","357"
"c","217","cameron","201004","357"
"system","216","cameron","201004","357"
"poll","212","cameron","201004","357"
"plans","209","cameron","201004","357"
"polls","208","cameron","201004","357"
"democrats","208","cameron","201004","357"
"economy","206","cameron","201004","357"
"pay","204","cameron","201004","357"
"come","202","cameron","201004","357"
"know","202","cameron","201004","357"
"won","200","cameron","201004","357"
"clegg","1639","clegg","201004","285"
"labour","1504","clegg","201004","285"
"cameron","1084","clegg","201004","285"
"would","1075","clegg","201004","285"
"lib","1059","clegg","201004","285"
"party","1053","clegg","201004","285"
"brown","992","clegg","201004","285"
"said","861","clegg","201004","285"
"election","698","clegg","201004","285"
"one","678","clegg","201004","285"
"people","677","clegg","201004","285"
"dems","617","clegg","201004","285"
"debate","592","clegg","201004","285"
"liberal","541","clegg","201004","285"
"tories","517","clegg","201004","285"
"nick","501","clegg","201004","285"
"tory","439","clegg","201004","285"
"last","431","clegg","201004","285"
"vote","423","clegg","201004","285"
"two","422","clegg","201004","285"
"dem","417","clegg","201004","285"
"government","411","clegg","201004","285"
"like","410","clegg","201004","285"
"first","408","clegg","201004","285"
"david","398","clegg","201004","285"
"lab","381","clegg","201004","285"
"leader","380","clegg","201004","285"
"political","377","clegg","201004","285"
"time","372","clegg","201004","285"
"parties","363","clegg","201004","285"
"think","363","clegg","201004","285"
"also","355","clegg","201004","285"
"campaign","355","clegg","201004","285"
"gordon","340","clegg","201004","285"
"get","337","clegg","201004","285"
"could","333","clegg","201004","285"
"conservatives","332","clegg","201004","285"
"three","332","clegg","201004","285"
"says","332","clegg","201004","285"
"say","324","clegg","201004","285"
"voters","323","clegg","201004","285"
"may","320","clegg","201004","285"
"new","313","clegg","201004","285"
"change","306","clegg","201004","285"
"conservative","299","clegg","201004","285"
"week","295","clegg","201004","285"
"democrats","295","clegg","201004","285"
"tax","292","clegg","201004","285"
"politics","284","clegg","201004","285"
"even","283","clegg","201004","285"
"britain","281","clegg","201004","285"
"leaders","278","clegg","201004","285"
"today","278","clegg","201004","285"
"public","276","clegg","201004","285"
"much","268","clegg","201004","285"
"parliament","266","clegg","201004","285"
"see","261","clegg","201004","285"
"back","261","clegg","201004","285"
"us","256","clegg","201004","285"
"poll","256","clegg","201004","285"
"manifesto","248","clegg","201004","285"
"want","246","clegg","201004","285"
"10","243","clegg","201004","285"
"british","242","clegg","201004","285"
"years","239","clegg","201004","285"
"polls","234","clegg","201004","285"
"going","232","clegg","201004","285"
"system","231","clegg","201004","285"
"right","226","clegg","201004","285"
"well","222","clegg","201004","285"
"way","219","clegg","201004","285"
"c","213","clegg","201004","285"
"prime","212","clegg","201004","285"
"minister","211","clegg","201004","285"
"country","208","clegg","201004","285"
"many","208","clegg","201004","285"
"old","205","clegg","201004","285"
"make","204","clegg","201004","285"
"seats","204","clegg","201004","285"
"support","203","clegg","201004","285"
"policy","195","clegg","201004","285"
"debates","195","clegg","201004","285"
"big","194","clegg","201004","285"
"made","190","clegg","201004","285"
"put","188","clegg","201004","285"
"reform","186","clegg","201004","285"
"won","183","clegg","201004","285"
"electoral","182","clegg","201004","285"
"hung","182","clegg","201004","285"
"might","182","clegg","201004","285"
"still","181","clegg","201004","285"
"third","181","clegg","201004","285"
"good","180","clegg","201004","285"
"next","179","clegg","201004","285"
"year","174","clegg","201004","285"
"second","173","clegg","201004","285"
"need","173","clegg","201004","285"
"come","169","clegg","201004","285"
"power","168","clegg","201004","285"
"work","168","clegg","201004","285"
"cameron","1882","cameron","201005","353"
"labour","1815","cameron","201005","353"
"lib","1485","cameron","201005","353"
"would","1432","cameron","201005","353"
"party","1395","cameron","201005","353"
"government","1376","cameron","201005","353"
"said","1028","cameron","201005","353"
"clegg","958","cameron","201005","353"
"election","898","cameron","201005","353"
"tory","879","cameron","201005","353"
"coalition","856","cameron","201005","353"
"brown","847","cameron","201005","353"
"dems","814","cameron","201005","353"
"one","813","cameron","201005","353"
"tories","812","cameron","201005","353"
"new","807","cameron","201005","353"
"david","672","cameron","201005","353"
"liberal","633","cameron","201005","353"
"minister","594","cameron","201005","353"
"dem","580","cameron","201005","353"
"first","569","cameron","201005","353"
"vote","548","cameron","201005","353"
"people","523","cameron","201005","353"
"could","522","cameron","201005","353"
"prime","497","cameron","201005","353"
"may","495","cameron","201005","353"
"last","492","cameron","201005","353"
"also","460","cameron","201005","353"
"leader","456","cameron","201005","353"
"conservative","448","cameron","201005","353"
"conservatives","443","cameron","201005","353"
"seats","431","cameron","201005","353"
"time","428","cameron","201005","353"
"reform","422","cameron","201005","353"
"political","412","cameron","201005","353"
"mps","406","cameron","201005","353"
"like","406","cameron","201005","353"
"today","400","cameron","201005","353"
"majority","393","cameron","201005","353"
"deal","388","cameron","201005","353"
"two","384","cameron","201005","353"
"parliament","383","cameron","201005","353"
"parties","379","cameron","201005","353"
"public","374","cameron","201005","353"
"nick","371","cameron","201005","353"
"even","370","cameron","201005","353"
"britain","369","cameron","201005","353"
"gordon","358","cameron","201005","353"
"democrats","357","cameron","201005","353"
"country","349","cameron","201005","353"
"electoral","348","cameron","201005","353"
"much","343","cameron","201005","353"
"make","333","cameron","201005","353"
"campaign","332","cameron","201005","353"
"years","325","cameron","201005","353"
"right","319","cameron","201005","353"
"well","310","cameron","201005","353"
"power","308","cameron","201005","353"
"many","308","cameron","201005","353"
"10","304","cameron","201005","353"
"get","304","cameron","201005","353"
"might","304","cameron","201005","353"
"secretary","302","cameron","201005","353"
"way","301","cameron","201005","353"
"see","299","cameron","201005","353"
"us","298","cameron","201005","353"
"politics","295","cameron","201005","353"
"cabinet","293","cameron","201005","353"
"think","290","cameron","201005","353"
"system","288","cameron","201005","353"
"back","287","cameron","201005","353"
"change","279","cameron","201005","353"
"good","277","cameron","201005","353"
"made","276","cameron","201005","353"
"voters","274","cameron","201005","353"
"year","272","cameron","201005","353"
"going","271","cameron","201005","353"
"tax","269","cameron","201005","353"
"take","257","cameron","201005","353"
"support","256","cameron","201005","353"
"cuts","249","cameron","201005","353"
"say","248","cameron","201005","353"
"clear","243","cameron","201005","353"
"form","243","cameron","201005","353"
"since","241","cameron","201005","353"
"next","240","cameron","201005","353"
"still","236","cameron","201005","353"
"won","233","cameron","201005","353"
"day","228","cameron","201005","353"
"policy","225","cameron","201005","353"
"former","222","cameron","201005","353"
"need","222","cameron","201005","353"
"big","222","cameron","201005","353"
"british","219","cameron","201005","353"
"national","219","cameron","201005","353"
"three","215","cameron","201005","353"
"says","214","cameron","201005","353"
"london","210","cameron","201005","353"
"long","209","cameron","201005","353"
"week","209","cameron","201005","353"
"labour","1741","clegg","201005","277"
"lib","1694","clegg","201005","277"
"party","1315","clegg","201005","277"
"would","1294","clegg","201005","277"
"clegg","1251","clegg","201005","277"
"government","1140","clegg","201005","277"
"cameron","1138","clegg","201005","277"
"dems","913","clegg","201005","277"
"said","905","clegg","201005","277"
"coalition","810","clegg","201005","277"
"brown","807","clegg","201005","277"
"election","764","clegg","201005","277"
"tories","709","clegg","201005","277"
"dem","682","clegg","201005","277"
"one","679","clegg","201005","277"
"tory","643","clegg","201005","277"
"liberal","634","clegg","201005","277"
"new","621","clegg","201005","277"
"vote","557","clegg","201005","277"
"people","503","clegg","201005","277"
"david","501","clegg","201005","277"
"reform","490","clegg","201005","277"
"first","479","clegg","201005","277"
"could","473","clegg","201005","277"
"nick","439","clegg","201005","277"
"minister","423","clegg","201005","277"
"also","420","clegg","201005","277"
"last","418","clegg","201005","277"
"deal","413","clegg","201005","277"
"seats","402","clegg","201005","277"
"may","397","clegg","201005","277"
"leader","392","clegg","201005","277"
"conservatives","385","clegg","201005","277"
"prime","384","clegg","201005","277"
"mps","380","clegg","201005","277"
"like","377","clegg","201005","277"
"political","374","clegg","201005","277"
"time","370","clegg","201005","277"
"parties","365","clegg","201005","277"
"two","362","clegg","201005","277"
"electoral","356","clegg","201005","277"
"conservative","350","clegg","201005","277"
"democrats","350","clegg","201005","277"
"gordon","332","clegg","201005","277"
"think","329","clegg","201005","277"
"majority","325","clegg","201005","277"
"parliament","323","clegg","201005","277"
"today","322","clegg","201005","277"
"politics","322","clegg","201005","277"
"even","317","clegg","201005","277"
"country","309","clegg","201005","277"
"system","304","clegg","201005","277"
"power","291","clegg","201005","277"
"much","290","clegg","201005","277"
"right","285","clegg","201005","277"
"many","280","clegg","201005","277"
"make","278","clegg","201005","277"
"way","273","clegg","201005","277"
"britain","273","clegg","201005","277"
"see","269","clegg","201005","277"
"campaign","268","clegg","201005","277"
"well","264","clegg","201005","277"
"might","260","clegg","201005","277"
"secretary","259","clegg","201005","277"
"get","256","clegg","201005","277"
"cabinet","256","clegg","201005","277"
"voters","255","clegg","201005","277"
"change","254","clegg","201005","277"
"us","249","clegg","201005","277"
"years","248","clegg","201005","277"
"going","242","clegg","201005","277"
"good","241","clegg","201005","277"
"back","240","clegg","201005","277"
"public","238","clegg","201005","277"
"10","234","clegg","201005","277"
"take","225","clegg","201005","277"
"made","224","clegg","201005","277"
"say","223","clegg","201005","277"
"form","222","clegg","201005","277"
"support","220","clegg","201005","277"
"british","214","clegg","201005","277"
"says","208","clegg","201005","277"
"since","203","clegg","201005","277"
"next","202","clegg","201005","277"
"tax","202","clegg","201005","277"
"want","200","clegg","201005","277"
"referendum","200","clegg","201005","277"
"talks","197","clegg","201005","277"
"clear","194","clegg","201005","277"
"three","193","clegg","201005","277"
"left","193","clegg","201005","277"
"still","192","clegg","201005","277"
"voting","187","clegg","201005","277"
"year","186","clegg","201005","277"
"votes","185","clegg","201005","277"
"long","183","clegg","201005","277"
"need","182","clegg","201005","277"
"won","180","clegg","201005","277"
"ve","178","clegg","201005","277"
"policy","178","clegg","201005","277"
"cameron","618","cameron","201006","157"
"said","537","cameron","201006","157"
"government","456","cameron","201006","157"
"would","406","cameron","201006","157"
"public","316","cameron","201006","157"
"minister","297","cameron","201006","157"
"one","249","cameron","201006","157"
"prime","246","cameron","201006","157"
"people","235","cameron","201006","157"
"britain","228","cameron","201006","157"
"david","222","cameron","201006","157"
"cuts","218","cameron","201006","157"
"new","215","cameron","201006","157"
"year","210","cameron","201006","157"
"labour","209","cameron","201006","157"
"budget","199","cameron","201006","157"
"british","194","cameron","201006","157"
"us","190","cameron","201006","157"
"could","182","cameron","201006","157"
"also","181","cameron","201006","157"
"last","179","cameron","201006","157"
"spending","175","cameron","201006","157"
"999","170","cameron","201006","157"
"first","166","cameron","201006","157"
"world","162","cameron","201006","157"
"afghanistan","160","cameron","201006","157"
"years","152","cameron","201006","157"
"coalition","151","cameron","201006","157"
"today","148","cameron","201006","157"
"time","141","cameron","201006","157"
"sector","131","cameron","201006","157"
"osborne","128","cameron","201006","157"
"like","126","cameron","201006","157"
"make","121","cameron","201006","157"
"may","121","cameron","201006","157"
"country","117","cameron","201006","157"
"two","117","cameron","201006","157"
"made","115","cameron","201006","157"
"tax","114","cameron","201006","157"
"many","112","cameron","201006","157"
"even","112","cameron","201006","157"
"chief","112","cameron","201006","157"
"much","111","cameron","201006","157"
"uk","110","cameron","201006","157"
"next","110","cameron","201006","157"
"way","109","cameron","201006","157"
"economic","109","cameron","201006","157"
"secretary","108","cameron","201006","157"
"deficit","104","cameron","201006","157"
"get","103","cameron","201006","157"
"office","102","cameron","201006","157"
"work","101","cameron","201006","157"
"need","101","cameron","201006","157"
"going","100","cameron","201006","157"
"back","100","cameron","201006","157"
"since","99","cameron","201006","157"
"lib","99","cameron","201006","157"
"party","99","cameron","201006","157"
"good","97","cameron","201006","157"
"bp","96","cameron","201006","157"
"defence","96","cameron","201006","157"
"troops","95","cameron","201006","157"
"obama","94","cameron","201006","157"
"well","94","cameron","201006","157"
"national","94","cameron","201006","157"
"week","94","cameron","201006","157"
"political","94","cameron","201006","157"
"see","92","cameron","201006","157"
"eu","91","cameron","201006","157"
"home","91","cameron","201006","157"
"cut","89","cameron","201006","157"
"pay","86","cameron","201006","157"
"general","86","cameron","201006","157"
"clegg","85","cameron","201006","157"
"policy","85","cameron","201006","157"
"election","84","cameron","201006","157"
"private","83","cameron","201006","157"
"security","83","cameron","201006","157"
"countries","82","cameron","201006","157"
"right","81","cameron","201006","157"
"tory","80","cameron","201006","157"
"take","80","cameron","201006","157"
"president","80","cameron","201006","157"
"go","79","cameron","201006","157"
"money","79","cameron","201006","157"
"must","79","cameron","201006","157"
"director","79","cameron","201006","157"
"london","78","cameron","201006","157"
"summit","77","cameron","201006","157"
"economy","77","cameron","201006","157"
"liberal","76","cameron","201006","157"
"told","76","cameron","201006","157"
"want","75","cameron","201006","157"
"come","75","cameron","201006","157"
"jobs","74","cameron","201006","157"
"war","74","cameron","201006","157"
"still","74","cameron","201006","157"
